operation,mse,psnr_db,ssim,mean,std
02 Brightness Contrast,3377.7505,12.8445,0.8115,192.53,58.43
03 Gamma Saturation,450.7795,21.5912,0.8432,136.50,74.29
04 Histogram Eq,1711.7948,15.7963,0.6418,130.53,75.83
05 Clahe,113.4568,27.5825,0.7776,136.87,54.27
06 Gaussian Blur,59.8696,30.3587,0.6107,136.29,53.75
07 Median Blur,51.0309,31.0525,0.5825,136.29,54.06
08 Bilateral,45.1157,31.5875,0.6004,136.29,54.13
09 Laplacian Sharpen,936.7895,18.4144,0.3832,135.87,64.72
10 Unsharp Mask,62.8301,30.1491,0.8285,136.27,56.35
11 Denoise,50.8347,31.0692,0.5811,136.12,54.28
12 Grayscale,2912.1838,13.4886,0.6562,133.60,31.33
13 Sepia,2596.7151,13.9866,0.6395,149.12,34.42
14 Canny Edges,21442.6430,4.8180,0.0011,1.38,18.72
15 Sobel Edges,18441.2663,5.4729,0.0846,12.38,14.70
16 Adaptive Threshold,18162.6875,5.5390,0.0459,154.81,124.54
